"total_wealth","utilitarian_welfare","theft_costs","contracting_costs","guarding_costs","punishment_losses","gini","top10_share","n_honest","n_patrons","n_hired_thieves","n_freelance","n_guards","n_idle","time","n_agents","rich_threshold","elite_threshold","regime"
17.1474136985861,13.0120510623825,0.54,0,0.48,0.039952345148965,0.447957549266107,0.212410177371491,1,0,0,27,6,20,53,60,0.328658762556234,0.600159479450515,"Collapse"
16.5674136985861,12.7780853219267,0.58,0,0.32,0,0.449171051432818,0.212740084651871,1,0,0,29,4,22,54,60,0.317542095889568,0.579859479450515,"Collapse"
16.0074136985861,12.3250062580613,0.56,0,0.4,0,0.447260010820429,0.214342104700918,1,0,0,28,5,21,55,60,0.306808762556234,0.560259479450515,"Collapse"
15.4508799474948,11.8059313422367,0.52,0,0.56,0.036533751091349,0.439354734746418,0.213560763605424,1,0,0,26,7,19,56,60,0.296141865660317,0.540780798162318,"Collapse"
14.8626323629265,11.5524849147894,0.56,0,0.4,0.0282475845683291,0.436797730267674,0.21154004635832,1,0,0,28,5,21,57,60,0.284867120289424,0.520192132702426,"Collapse"
14.2223242258747,11.1499457121666,0.6,0,0.24,0.0403081370517624,0.444928512106957,0.214068596971009,1,0,0,30,3,23,58,60,0.272594547662598,0.497781347905614,"Collapse"
13.7023242258747,10.6359473425745,0.52,0,0.56,0,0.426676455354616,0.212398924608838,1,0,0,26,7,19,59,60,0.262627880995932,0.479581347905614,"Collapse"
13.097771253029,10.3385398472547,0.58,0,0.32,0.0245529728457331,0.429809894563747,0.215281032588704,1,0,0,29,4,22,60,60,0.251040615683055,0.458421993856014,"Collapse"
12.457771253029,10.0143094245097,0.64,0,0.08,0,0.451750504222941,0.223872968385922,1,0,0,32,1,25,61,60,0.238773949016388,0.436021993856014,"Collapse"
11.837771253029,9.45343010881368,0.62,0,0.16,0,0.463096893532016,0.228743883093525,1,0,0,31,2,24,62,60,0.226890615683055,0.414321993856014,"Collapse"
11.185342370688,8.96963587389232,0.66,0,0,0,0.503611102075799,0.242086265565442,1,0,0,33,0,26,63,60,0.214385728771519,0.391486982974078,"Collapse"
10.5516501382428,8.32889253311929,0.64,0,0.16,0,0.5166055413273,0.247850390495486,1,0,0,32,2,23,64,60,0.202239960982988,0.369307754838499,"Collapse"
9.93919650288838,7.84136039401931,0.66,0,0.08,0,0.549137062917908,0.259215207681498,1,0,0,33,1,24,65,60,0.19050126630536,0.347871877601093,"Collapse"
9.37563767230735,7.45577555813339,0.62,0,0,0,0.581893292618511,0.274796336604738,1,0,0,31,0,28,66,60,0.179699722052557,0.328147318530757,"Collapse"
8.91319762674375,7.08899836906658,0.54,0,0,0,0.615988934188826,0.289053490517596,1,0,0,27,0,32,67,60,0.170836287845922,0.311961916936031,"Collapse"
8.5840896491844,6.92342082860813,0.46,0,0,0,0.624222684799941,0.296468792697009,1,0,0,23,0,36,68,60,0.164528384942701,0.300443137721454,"Collapse"
8.43161114562391,6.88821752371076,0.36,0,0,0,0.632822448089882,0.301830178211839,1,0,0,18,0,41,69,60,0.161605880291125,0.295106390096837,"Collapse"
8.30689918545329,6.99033231685164,0.14,0,0,0,0.640183231362308,0.306361572216158,1,0,0,7,0,52,70,60,0.159215567721188,0.290741471490865,"Collapse"
